id,synsetId,subSynsetId,modelId,split
019068,3,3,019068,train
025066,0,0,025066,train
031182,47,47,031182,train
027084,12,12,027084,train
021491,44,44,021491,train
041449,8,8,041449,train
044309,47,47,044309,train
051217,44,44,051217,train
039570,1,1,039570,train
022385,1,1,022385,train
022848,47,47,022848,train
049131,18,18,049131,train
014421,30,30,014421,train
018481,18,18,018481,train
031584,49,49,031584,train
019272,18,18,019272,train
010539,49,49,010539,train
035397,49,49,035397,train
015313,15,15,015313,train
007086,30,30,007086,train
045446,49,49,045446,train
003358,32,32,003358,train
010210,16,16,010210,train
007703,16,16,007703,train
029169,32,32,029169,train
021806,31,31,021806,train
015781,32,32,015781,train
027580,47,47,027580,train
024697,32,32,024697,train
011307,37,37,011307,train
032291,30,30,032291,train
020719,17,17,020719,train
005834,47,47,005834,train
030735,0,0,030735,train
022585,26,26,022585,train
014998,16,16,014998,train
026365,16,16,026365,train
035500,53,53,035500,train
030034,18,18,030034,train
017695,18,18,017695,train
016828,49,49,016828,train
006186,49,49,006186,train
031447,8,8,031447,train
042509,1,1,042509,train
039968,47,47,039968,train
017350,18,18,017350,train
011923,49,49,011923,train
022630,18,18,022630,train
021723,9,9,021723,train
022319,44,44,022319,train
041087,25,25,041087,train
051629,49,49,051629,train
030118,4,4,030118,train
004746,16,16,004746,train
042084,47,47,042084,train
026714,16,16,026714,train
045496,18,18,045496,train
012836,47,47,012836,train
002843,19,19,002843,train
045359,12,12,045359,train
042689,30,30,042689,train
038866,44,44,038866,train
041006,18,18,041006,train
042581,0,0,042581,train
007976,12,12,007976,train
042556,47,47,042556,train
038171,32,32,038171,train
036033,18,18,036033,train
030369,0,0,030369,train
040499,49,49,040499,train
039449,53,53,039449,train
008642,4,4,008642,train
033086,53,53,033086,train
013209,49,49,013209,train
006123,49,49,006123,train
013417,33,33,013417,train
025184,18,18,025184,train
004076,49,49,004076,train
015251,18,18,015251,train
013184,49,49,013184,train
050298,0,0,050298,train
004487,3,3,004487,train
018357,32,32,018357,train
041688,49,49,041688,train
049161,6,6,049161,train
020971,47,47,020971,train
005370,53,53,005370,train
011826,49,49,011826,train
019714,1,1,019714,train
033893,18,18,033893,train
043073,44,44,043073,train
011577,11,11,011577,train
031476,47,47,031476,train
013219,22,22,013219,train
030031,44,44,030031,train
050302,53,53,050302,train
008033,49,49,008033,train
026018,18,18,026018,train
047014,47,47,047014,train
016472,47,47,016472,train
030640,19,19,030640,train
040411,0,0,040411,train
048697,0,0,048697,train
001321,18,18,001321,train
004744,18,18,004744,train
025494,38,38,025494,train
020756,32,32,020756,train
008482,38,38,008482,train
034609,50,50,034609,train
033534,30,30,033534,train
016594,30,30,016594,train
008441,47,47,008441,train
038885,16,16,038885,train
026506,18,18,026506,train
010369,18,18,010369,train
050924,18,18,050924,train
038125,49,49,038125,train
034672,47,47,034672,train
017411,18,18,017411,train
040797,24,24,040797,train
030745,18,18,030745,train
030479,6,6,030479,train
029185,18,18,029185,train
024273,26,26,024273,train
003255,52,52,003255,train
010407,44,44,010407,train
036506,32,32,036506,train
023939,16,16,023939,train
016373,17,17,016373,train
018550,36,36,018550,train
047711,49,49,047711,train
050711,18,18,050711,train
050802,49,49,050802,train
039455,32,32,039455,train
049138,44,44,049138,train
021420,49,49,021420,train
039264,11,11,039264,train
021922,11,11,021922,train
014627,32,32,014627,train
049487,15,15,049487,train
009437,49,49,009437,train
006275,22,22,006275,train
047524,4,4,047524,train
009777,29,29,009777,train
041237,0,0,041237,train
017843,18,18,017843,train
044288,47,47,044288,train
022616,22,22,022616,train
008131,50,50,008131,train
014894,36,36,014894,train
032997,0,0,032997,train
029206,49,49,029206,train
040132,4,4,040132,train
018168,18,18,018168,train
004942,47,47,004942,train
035073,11,11,035073,train
047634,4,4,047634,train
011817,49,49,011817,train
030691,6,6,030691,train
037544,0,0,037544,train
011641,16,16,011641,train
029228,0,0,029228,train
023107,32,32,023107,train
043716,49,49,043716,train
031373,53,53,031373,train
